Source,Type,Target,Weight
Балин ,Undirected,Бард,3
Балин ,Undirected,Беорн,6
Балин ,Undirected,Бильбо Бэггинс,14
Балин ,Undirected,Бифур ,9
Балин ,Undirected,Бомбур,11
Балин ,Undirected,Бомбур ,1
Балин ,Undirected,Бофур,9
Балин ,Undirected,Бургомистр Эсгарота,3
Балин ,Undirected,Варги ,4
Балин ,Undirected,Глоин,2
Балин ,Undirected,Глоин ,6
Балин ,Undirected,Голлум,2
Балин ,Undirected,Гэндальф,10
Балин ,Undirected,Даин ,3
Балин ,Undirected,Двалин,6
Балин ,Undirected,Дори,8
Балин ,Undirected,Кили,11
Балин ,Undirected,Король Эльфов ,4
Балин ,Undirected,Нори ,6
Балин ,Undirected,Оин,1
Балин ,Undirected,Оин ,6
Балин ,Undirected,Оин  ,1
Балин ,Undirected,Ори,7
Балин ,Undirected,Орки,4
Балин ,Undirected,Орлы ,4
Балин ,Undirected,Смауг,7
Балин ,Undirected,Торин Дубощит,14
Балин ,Undirected,Тролли,1
Балин ,Undirected,Фили,11
Балин ,Undirected,Элронд	,5
Балин,Undirected,Бард,1
Балин,Undirected,Беорн,1
Балин,Undirected,Бильбо Бэггинс,1
Балин,Undirected,Бургомистр Эсгарота,1
Балин,Undirected,Гэндальф,1
Балин,Undirected,Двалин ,1
Бард,Undirected,Беорн,4
Бард,Undirected,Бильбо Бэггинс,5
Бард,Undirected,Бифур ,1
Бард,Undirected,Бомбур,3
Бард,Undirected,Бомбур ,1
Бард,Undirected,Бофур,1
Бард,Undirected,Бургомистр Эсгарота,4
Бард,Undirected,Варги ,2
Бард,Undirected,Глоин ,1
Бард,Undirected,Гэндальф,4
Бард,Undirected,Даин ,4
Бард,Undirected,Двалин,1
Бард,Undirected,Двалин ,1
Бард,Undirected,Дори,1
Бард,Undirected,Кили,4
Бард,Undirected,Король Эльфов ,4
Бард,Undirected,Оин,1
Бард,Undirected,Ори,1
Бард,Undirected,Орки,2
Бард,Undirected,Орлы ,2
Бард,Undirected,Смауг,3
Бард,Undirected,Торин Дубощит,5
Бард,Undirected,Фили,4
Беорн,Undirected,Бильбо Бэггинс,7
Беорн,Undirected,Бифур ,4
Беорн,Undirected,Бомбур,5
Беорн,Undirected,Бомбур ,1
Беорн,Undirected,Бофур,4
Беорн,Undirected,Бургомистр Эсгарота,5
Беорн,Undirected,Варги ,2
Беорн,Undirected,Глоин,2
Беорн,Undirected,Глоин ,3
Беорн,Undirected,Голлум,1
Беорн,Undirected,Гэндальф,5
Беорн,Undirected,Даин ,2
Беорн,Undirected,Двалин,3
Беорн,Undirected,Двалин ,1
Беорн,Undirected,Дори,5
Беорн,Undirected,Кили,5
Беорн,Undirected,Король Эльфов ,4
Беорн,Undirected,Нори ,3
Беорн,Undirected,Оин,1
Беорн,Undirected,Оин ,3
Беорн,Undirected,Оин  ,1
Беорн,Undirected,Ори,4
Беорн,Undirected,Орки,2
Беорн,Undirected,Орлы ,2
Беорн,Undirected,Смауг,4
Беорн,Undirected,Торин Дубощит,7
Беорн,Undirected,Фили,5
Беорн,Undirected,Элронд	,1
Бильбо Бэггинс,Undirected,Бифур ,9
Бильбо Бэггинс,Undirected,Бомбур,13
Бильбо Бэггинс,Undirected,Бомбур ,1
Бильбо Бэггинс,Undirected,Бофур,9
Бильбо Бэггинс,Undirected,Бургомистр Эсгарота,4
Бильбо Бэггинс,Undirected,Варги ,4
Бильбо Бэггинс,Undirected,Глоин,2
Бильбо Бэггинс,Undirected,Глоин ,7
Бильбо Бэггинс,Undirected,Голлум,3
Бильбо Бэггинс,Undirected,Гэндальф,13
Бильбо Бэггинс,Undirected,Даин ,4
Бильбо Бэггинс,Undirected,Двалин,6
Бильбо Бэггинс,Undirected,Двалин ,1
Бильбо Бэггинс,Undirected,Дори,9
Бильбо Бэггинс,Undirected,Кили,13
Бильбо Бэггинс,Undirected,Король Эльфов ,5
Бильбо Бэггинс,Undirected,Нори ,6
Бильбо Бэггинс,Undirected,Оин,1
Бильбо Бэггинс,Undirected,Оин ,7
Бильбо Бэггинс,Undirected,Оин  ,1
Бильбо Бэггинс,Undirected,Ори,8
Бильбо Бэггинс,Undirected,Орки,6
Бильбо Бэггинс,Undirected,Орлы ,4
Бильбо Бэггинс,Undirected,Смауг,7
Бильбо Бэггинс,Undirected,Торин Дубощит,16
Бильбо Бэггинс,Undirected,Тролли,1
Бильбо Бэггинс,Undirected,Фили,13
Бильбо Бэггинс,Undirected,Элронд	,6
Бифур ,Undirected,Бомбур,8
Бифур ,Undirected,Бомбур ,1
Бифур ,Undirected,Бофур,9
Бифур ,Undirected,Бургомистр Эсгарота,2
Бифур ,Undirected,Варги ,3
Бифур ,Undirected,Глоин,1
Бифур ,Undirected,Глоин ,6
Бифур ,Undirected,Голлум,2
Бифур ,Undirected,Гэндальф,7
Бифур ,Undirected,Даин ,1
Бифур ,Undirected,Двалин,6
Бифур ,Undirected,Дори,7
Бифур ,Undirected,Кили,8
Бифур ,Undirected,Король Эльфов ,2
Бифур ,Undirected,Нори ,6
Бифур ,Undirected,Оин,1
Бифур ,Undirected,Оин ,6
Бифур ,Undirected,Ори,7
Бифур ,Undirected,Орки,3
Бифур ,Undirected,Орлы ,3
Бифур ,Undirected,Смауг,3
Бифур ,Undirected,Торин Дубощит,9
Бифур ,Undirected,Тролли,1
Бифур ,Undirected,Фили,8
Бифур ,Undirected,Элронд	,4
Бомбур ,Undirected,Бофур,1
Бомбур ,Undirected,Бургомистр Эсгарота,1
Бомбур ,Undirected,Варги ,1
Бомбур ,Undirected,Глоин ,1
Бомбур ,Undirected,Гэндальф,1
Бомбур ,Undirected,Даин ,1
Бомбур ,Undirected,Двалин,1
Бомбур ,Undirected,Дори,1
Бомбур ,Undirected,Кили,1
Бомбур ,Undirected,Оин,1
Бомбур ,Undirected,Ори,1
Бомбур ,Undirected,Орки,1
Бомбур ,Undirected,Орлы ,1
Бомбур ,Undirected,Торин Дубощит,1
Бомбур ,Undirected,Фили,1
Бомбур,Undirected,Бофур,8
Бомбур,Undirected,Бургомистр Эсгарота,2
Бомбур,Undirected,Варги ,3
Бомбур,Undirected,Глоин,2
Бомбур,Undirected,Глоин ,6
Бомбур,Undirected,Голлум,2
Бомбур,Undirected,Гэндальф,9
Бомбур,Undirected,Даин ,3
Бомбур,Undirected,Двалин,5
Бомбур,Undirected,Дори,8
Бомбур,Undirected,Кили,12
Бомбур,Undirected,Король Эльфов ,5
Бомбур,Undirected,Нори ,6
Бомбур,Undirected,Оин ,7
Бомбур,Undirected,Оин  ,1
Бомбур,Undirected,Ори,6
Бомбур,Undirected,Орки,4
Бомбур,Undirected,Орлы ,3
Бомбур,Undirected,Смауг,6
Бомбур,Undirected,Торин Дубощит,13
Бомбур,Undirected,Тролли,1
Бомбур,Undirected,Фили,12
Бомбур,Undirected,Элронд	,5
Бофур,Undirected,Бургомистр Эсгарота,2
Бофур,Undirected,Варги ,3
Бофур,Undirected,Глоин,1
Бофур,Undirected,Глоин ,6
Бофур,Undirected,Голлум,2
Бофур,Undirected,Гэндальф,7
Бофур,Undirected,Даин ,1
Бофур,Undirected,Двалин,6
Бофур,Undirected,Дори,7
Бофур,Undirected,Кили,8
Бофур,Undirected,Король Эльфов ,2
Бофур,Undirected,Нори ,6
Бофур,Undirected,Оин,1
Бофур,Undirected,Оин ,6
Бофур,Undirected,Ори,7
Бофур,Undirected,Орки,3
Бофур,Undirected,Орлы ,3
Бофур,Undirected,Смауг,3
Бофур,Undirected,Торин Дубощит,9
Бофур,Undirected,Тролли,1
Бофур,Undirected,Фили,8
